CNIC,Caller Number,Activate At
76233750837,923734750,2019-12-22
41598376372,923269633,2019-05-17
31454161944,923420908,2019-07-04
59384740669,923228395,2019-09-18
34013232891,923312269,2019-01-13
89131086880,923564493,2019-09-11
75616372421,923498675,2019-11-24
58938913485,923239094,2019-04-17
87636555845,923364619,2019-12-13
99864050522,923829526,2019-08-12
96576057407,923520270,2019-01-25
26163115923,923119896,2019-02-12
46898324468,923569493,2019-04-15
12743646049,923343207,2019-04-14
37199181987,923856779,2019-01-16
63140725362,923270910,2019-09-30
94841559691,923387953,2019-03-03
52139066206,923877127,2019-01-12
18542672071,923352118,2019-01-21
34961826447,923902708,2019-12-01
10167251616,923444490,2019-09-09
39486919814,923370601,2019-10-23
41815147624,923052385,2019-01-23
76594917657,923975767,2019-02-13
88970148568,923835039,2019-12-05
38444202992,923243472,2019-07-20
27077857052,923996670,2019-10-21
21977545487,923554741,2019-02-26
95507824436,923979869,2019-02-22
69023477482,923044659,2019-01-25
64094929025,923296202,2019-02-26
79982290144,923356403,2019-03-21
97751861814,923335573,2019-01-04
34733704408,923367056,2019-01-05
90750879137,923961183,2019-11-09
50464700938,923071276,2019-05-02
68121246858,923450882,2019-05-19
58776056619,923152730,2019-07-04
11705942389,923365551,2019-03-11
43076548266,923875786,2019-11-18
94603929516,923425307,2019-06-15
84399639896,923055700,2019-09-16
37115205342,923322621,2019-07-23
36711191094,923526194,2019-05-09
38587609691,923582832,2019-01-23
46460957084,923577894,2019-05-26
81889569005,923547513,2019-02-09
11007222715,923881625,2019-06-24
65187218565,923464062,2019-12-01
98173706000,923124618,2019-03-19
13205004911,923176222,2019-02-10
42336714629,923478374,2019-05-10
10040374598,923989512,2019-03-25
75630011961,923028305,2019-10-10
10884572129,923245102,2019-12-11
45737184439,923111117,2019-09-16
63210308153,923075962,2019-09-19
21447797514,923176474,2019-05-09
52283520440,923928745,2019-08-02
81050454029,923553930,2019-09-02
59363189055,923224650,2019-02-28
74523804191,923251678,2019-04-10
35127966341,923773503,2019-03-04
88508050920,923633204,2019-10-16
96673157183,923665410,2019-09-28
18981860688,923628880,2019-03-17
55736723413,923941017,2019-03-14
38264963934,923832855,2019-12-25
84017963397,923086718,2019-12-15
36007342093,923109277,2019-02-14
28749189988,923835120,2019-08-15
33155022589,923746461,2019-05-07
36722319122,923730288,2019-03-29
75078677435,923105699,2019-09-17
60899246535,923005457,2019-09-22
