CNIC,CDR Number
76233750837,923949789
76233750837,923008193
41598376372,923477054
41598376372,923893246
31454161944,923333123
31454161944,923941663
59384740669,923165771
59384740669,923071276
34013232891,923187929
34013232891,923267515
89131086880,923047243
89131086880,923825975
75616372421,923964387
75616372421,923902708
58938913485,923194868
58938913485,923114298
87636555845,923072493
87636555845,923939038
99864050522,923000153
99864050522,923389470
96576057407,923958998
96576057407,923423738
26163115923,923150813
26163115923,923992413
46898324468,923651837
46898324468,923801044
12743646049,923508093
12743646049,923936109
37199181987,923386339
37199181987,923981282
63140725362,923019608
63140725362,923358496
94841559691,923076422
94841559691,923873316
52139066206,923123681
52139066206,923383507
18542672071,923200587
18542672071,923330866
34961826447,923616513
34961826447,923465059
10167251616,923248945
10167251616,923544463
39486919814,923959364
39486919814,923707165
41815147624,923846586
41815147624,923018089
76594917657,923348923
76594917657,923642419
88970148568,923270183
88970148568,923065633
38444202992,923917245
38444202992,923455314
27077857052,923979764
27077857052,923926808
21977545487,923941021
21977545487,923745283
95507824436,923906673
95507824436,923176547
69023477482,923231388
69023477482,923612311
64094929025,923382218
64094929025,923374634
79982290144,923254635
79982290144,923840745
97751861814,923583716
97751861814,923442433
34733704408,923993265
34733704408,923880350
90750879137,923955402
90750879137,923144469
50464700938,923034033
50464700938,923688423
68121246858,923824026
68121246858,923059914
58776056619,923750423
58776056619,923662169
11705942389,923819720
11705942389,923546450
43076548266,923660413
43076548266,923916897
94603929516,923873325
94603929516,923176626
84399639896,923887593
84399639896,923949369
37115205342,923203913
37115205342,923242789
36711191094,923364681
36711191094,923626932
38587609691,923008750
38587609691,923845549
46460957084,923832088
46460957084,923370255
81889569005,923962039
81889569005,923008859
11007222715,923603870
11007222715,923226989
65187218565,923620381
65187218565,923107832
98173706000,923194286
98173706000,923907042
13205004911,923394617
13205004911,923113542
42336714629,923801003
42336714629,923667060
10040374598,923041225
10040374598,923188087
75630011961,923652318
75630011961,923790016
10884572129,923061005
10884572129,923200074
45737184439,923663345
45737184439,923845549
63210308153,923900709
63210308153,923028458
21447797514,923888603
21447797514,923028512
52283520440,923420154
52283520440,923739069
81050454029,923480783
81050454029,923231768
59363189055,923882713
59363189055,923217648
74523804191,923961074
74523804191,923220103
35127966341,923168485
35127966341,923102063
88508050920,923970775
88508050920,923114274
96673157183,923536225
96673157183,923772555
18981860688,923006672
18981860688,923201804
55736723413,923574870
55736723413,923114966
38264963934,923713245
38264963934,923264134
84017963397,923561786
84017963397,923208596
36007342093,923144461
36007342093,923740721
28749189988,923658530
28749189988,923831238
33155022589,923897008
33155022589,923590887
36722319122,923538461
36722319122,923508247
75078677435,923108244
75078677435,923144461
60899246535,923138249
60899246535,923660876
47119029416,923329982
47119029416,923381705
11489475867,923407133
11489475867,923324931
58946005822,923092336
58946005822,923888171
97290560120,923041225
97290560120,923319352
86168350303,923815947
86168350303,923314507
12308265425,923909000
12308265425,923542719
73463159208,923005739
73463159208,923513791
48544275611,923608113
48544275611,923385828
41869409889,923152807
41869409889,923926167
24217081053,923198412
24217081053,923948701
41854809285,923595898
41854809285,923800019
11498531159,923394595
11498531159,923913410
16600200851,923339680
16600200851,923967288
40679691002,923004668
40679691002,923813970
99339705864,923137793
99339705864,923142036
54979482902,923630359
54979482902,923175765
25911472647,923484155
25911472647,923207126
44392009769,923595170
44392009769,923076428
75143338952,923921571
75143338952,923781150
63324647179,923952499
63324647179,923651606
52318544007,923283068
52318544007,923195616
72045725588,923630163
72045725588,923869400
25253586718,923144475
25253586718,923899997
26211453706,923597533
26211453706,923057787
91219801045,923511424
91219801045,923923128
68045922741,923271507
68045922741,923484639
15127215204,923221504
15127215204,923133479
97385813379,923850217
97385813379,923127880
31161534779,923694450
31161534779,923660876
34686152508,923326274
34686152508,923513266
18678749145,923514569
18678749145,923775248
65018379505,923527874
65018379505,923065311
85092918065,923070120
85092918065,923379460
91443111871,923827635
91443111871,923226325
17107294383,923530787
17107294383,923687290
26836236412,923210784
26836236412,923694450
59052223150,923024203
59052223150,923757011
99335741907,923604540
99335741907,923587121
90729984215,923771619
90729984215,923447765
38768956452,923663345
38768956452,923450747
55958542014,923573741
55958542014,923881475
61798881294,923854679
61798881294,923403644
16287308719,923017444
16287308719,923513187
22224813923,923475296
22224813923,923265167
44348133190,923964387
44348133190,923046588
26437953640,923314507
26437953640,923007189
61233710857,923778576
61233710857,923271165
11698125474,923386339
11698125474,923236098
77409672605,923729486
77409672605,923178066
16229063535,923637070
16229063535,923009187
91026835256,923970648
91026835256,923167050
54694830296,923839133
54694830296,923389023
87741105103,923300622
87741105103,923054119
72621270548,923580263
72621270548,923890706
19610745490,923009187
19610745490,923924915
84463582042,923031372
84463582042,923457368
30417868475,923719295
30417868475,923434101
55775186343,923933834
55775186343,923818273
72833485626,923965609
