SIM_NUM,IMEI_NUM,CNIC
5257926,289027664,5551641111
68388111,1236614318,5555555518
69055353,28719319,5552296666
80933203,1496357023,5551166666
106779404,220494481,5557777720
115855232,852486429,5551077777
119848937,4372712,5558888821
139229908,306632056,5553333324
157234844,115869186,5556888888
164132518,763896747,5553333335
175257251,1666219651,5556666661
200539050,1760289178,5552444444
202719171,1818510031,5551333333
206140886,1778820196,3251112222
236711407,72342298,3251112222
254779330,342133273,5554444410
264210246,1069575498,5555555554
266762448,909820931,5553333316
277314110,939976419,1234567891011
284622230,112227380,5554444410
292354859,875810886,5553333338
316243346,874030320,5557777772
318048962,1124646691,5557777776
329237206,889686193,5558888887
331939244,778375543,5552821111
354079687,330525322,5559999998
367519466,1598887164,5553043333
373711536,654883938,5551879999
393403065,1633173122,5552189999
440475825,440758311,2554464646
443607348,1832587372,5554666666
469042120,2087964694,5553333339
472399579,1053411847,5559999997
488890757,1609992880,5558888886
490071972,174520468,5559999991
497587683,1714717872,5559999922
501278691,2083038442,5557777713
521749378,236511302,5558888880
543178717,66966796,5551641111
550463239,606712415,98765432
552959737,438085914,5558333333
581227394,4229752,2554464646
586317748,849442568,5557999999
620934944,1362214186,5557777772
646871170,149078462,5557777779
649383763,1607716600,5554444425
651810831,484715421,5552939999
666157026,690693562,5557777728
666525036,1976880115,5554444449
681004822,529902480,5555555526
691467349,1355710307,5557777713
707916112,1907467638,5553332377
713112324,1371624918,5558888814
735102770,1536441437,5554444417
754317506,1950207984,5552760000
767707462,106958256,5553332377
794833368,714214361,5555555557
809523522,2084815811,5558333333
824694802,148255318,5552572222
830774948,3656394,5553333332
839410912,647948214,5554444446
896472806,1405289350,5559999991
897219021,1402280904,5556666627
898785119,1586331969,5559444444
908114453,1904285436,5555777777
936789292,1028352976,5551384444
952299753,1777216515,5558888829
955136213,1714224212,5555555554
971059184,1003324427,5552760000
980724297,687685360,5556666619
999506115,1283847572,5553043333
1007236716,214973390,5551166666
1013564564,78962551,5557777720
1024317563,437629089,5559999994
1026603700,1914070140,3355555555
1039431194,2131457160,5555555518
1055361783,1320472511,5553333339
1090376394,1339203045,5551384444
1103415090,2043819300,5554444446
1121688440,597246928,3157778888
1124699889,1777983434,5558888886
1196957454,1716957289,5551333333
1217076811,2074074904,5553333335
1226419169,762552831,5556666612
1231616675,440151149,5555555550
1259042220,593727201,5554444443
1270995610,1691210982,5554444443
1272927669,100145373,5558888880
1274070086,1618229586,5558888829
1275519444,642435091,5551077777
1279322022,1906525463,5554444417
1303112454,61794565,5555555526
1320187993,113672376,5556666668
1343508310,1045555919,5558888814
1345455310,1547638733,5557777776
1362886541,1682046801,5552296666
1368382932,1160442756,5559999930
1371203800,850212784,5554666666
1380026974,1895385318,3157778888
1403177806,675000130,5556666665
1413822882,1457027779,5552445555
1424773878,2000189247,5552939999
1434086830,258918192,5557999999
1439224065,1270824149,5551532222
1450767047,692874488,5555555550
1463744296,2079927870,5556666619
1480792306,926324955,5551963333
1493719800,325658899,1234567891011
1498112912,26273436,5552445555
1500026691,485753118,5559999915
1501447845,1222062721,5552072222
1503594949,1555662335,5559999997
1513471684,434796998,5559999915
1569866823,582169060,5558888887
1588396432,1927214724,5559999994
1590960873,1423798792,5556666661
1601738151,1956874881,5551532222
1604818939,95080899,98765432
1634306056,1524484890,5555555553
1643274170,1440101773,5556666664
1649128174,1785618490,5555555511
1679664904,23748834,5552072222
1681145639,1508558689,5558888883
1691815062,566835101,5553777777
1693438401,506260815,5557777775
1694695518,445042262,5553333316
1731051739,824018079,3355555555
1768834611,835767402,5552444444
1781730525,1194609792,5558888883
1785634203,279186939,5555555557
1789710617,1004080464,5556666612
1794927992,1280704244,5553333324
1804869767,314829349,5557777775
1806138734,739399174,5557777728
1825280339,2094342932,5551490000
1844920345,1104964760,5552821111
1896197466,1351157390,5556666664
1901515211,1936602336,5553333338
1908596060,1762975606,5551963333
1911336957,531708846,5559444444
1925032730,273751884,5553777777
1946197935,155695803,5557777779
1962218127,700568419,3459876543
1964641820,1451424356,5551275555
1988474187,826320955,5553333332
1988999445,1841075219,5555555553
2001364019,840688923,5554444425
2010400125,1646173599,3459876543
2019810102,993012251,5559999930
2035752621,2026861088,5559999922
2041012314,1319069169,5556666627
2048139646,1025989513,5554444449
2075256662,1419334084,5552189999
2079565317,1438956203,5556666665
2081623788,1793576052,5558888821
2092736991,1892880495,5552572222
2093981023,1828845295,5551490000
2109143638,480432935,5551879999
2114324234,594967810,5556888888
2114895647,1893558719,5559999998
2119238597,1791405307,5551275555
2120721551,2118409143,5556666668
2126164980,429930837,5555555511
2140148937,1304209610,5555777777
