CNIC,first_name,last_name,date_of_birth,zip_code,city,gender
98765432,Jane,Doe,1941-09-27,19657,Rawalpindi,Male
2554464646,Ali,Naqi,1995-07-03,15994,Faislabad,Male
3157778888,Robert,Brown,1966-07-15,17803,Islamabad,Male
3251112222,Sarah,Williams,1992-03-28,18162,Rawalpindi,Male
3355555555,Michael,Johnson,1945-10-27,13467,Rawalpindi,Male
3459876543,Jane,Doe,2000-08-06,13396,Peshawar,Male
5551077777,William,Hall,2009-06-03,10055,Karachi,Female
5551166666,Jessica,Green,1960-04-11,14517,Islamabad,Female
5551275555,Michael,Scott,1925-07-24,10293,Islamabad,Female
5551333333,John,Bell,2001-03-22,12736,Karachi,Female
5551384444,Maria,King,1935-10-25,19767,Karachi,Male
5551490000,John,Young,1976-07-14,16905,Karachi,Female
5551532222,Linda,Baker,1959-02-27,10561,Rawalpindi,Female
5551641111,James,Adams,2021-05-01,16989,Rawalpindi,Male
5551879999,Jennifer,Robinson,2002-05-23,19922,Rawalpindi,Female
5551963333,Mary,Gonzalez,1927-01-15,16085,Faislabad,Female
5552072222,David,Lopez,2002-06-05,10602,Peshawar,Female
5552189999,Ashley,Martinez,1965-02-26,13955,Peshawar,Female
5552296666,Matthew,Hernandez,1954-11-22,15059,Islamabad,Female
5552444444,Linda,Collins,1962-10-24,13492,Karachi,Female
5552445555,Christopher,Anderson,2004-09-09,14494,Faislabad,Female
5552572222,Emily,Wilson,1946-09-14,19987,Karachi,Female
5552760000,Michael,Miller,1927-09-22,18490,Rawalpindi,Female
5552821111,Karen,Taylor,1932-03-15,15121,Karachi,Male
5552939999,William,Lee,1996-05-03,16189,Rawalpindi,Male
5553043333,Jennifer,Jones,1965-06-07,14874,Karachi,Female
5553332377,Jessica,Thomas,1965-03-26,13523,Karachi,Female
5553333316,Maria,Ward,1927-02-04,14394,Rawalpindi,Male
5553333324,Ashley,Kelly,1932-11-05,16826,Rawalpindi,Male
5553333332,Michael,Graham,1957-10-28,17686,Rawalpindi,Male
5553333335,Mary,West,1992-11-26,14787,Islamabad,Female
5553333338,Jessica,Smith,1933-01-17,12302,Karachi,Male
5553333339,David,Alexander,1942-06-12,19078,Islamabad,Male
5553777777,James,Rivera,1996-06-03,11897,Lahore,Female
5554444410,Ashley,Bryant,2014-08-25,18525,Lahore,Male
5554444417,John,Reed,1931-07-30,18317,Karachi,Female
5554444425,Christopher,Gray,1969-04-27,11027,Lahore,Female
5554444443,Maria,Torres,2023-04-11,13518,Karachi,Female
5554444446,David,Cole,1987-09-11,10274,Rawalpindi,Female
5554444449,Michael,Ward,1947-03-03,16864,Karachi,Female
5554666666,Jennifer,Ward,1987-07-30,17517,Islamabad,Male
5555555511,Christopher,Flores,1931-09-19,11715,Peshawar,Female
5555555518,Linda,Howard,1999-05-23,15836,Karachi,Female
5555555526,Emily,Barnes,2017-05-19,19165,Islamabad,Female
5555555550,Maria,Lopez,1969-03-08,15983,Islamabad,Female
5555555553,David,Flores,1934-08-30,11672,Faislabad,Male
5555555554,John,Holland,1937-08-01,13036,Karachi,Male
5555555557,Ashley,Wallace,1949-11-15,12089,Sialkot,Female
5555777777,Mary,Parker,1933-10-04,10953,Karachi,Female
5556666612,Emily,Collins,1961-10-26,11690,Peshawar,Male
5556666619,James,Ramirez,1933-12-15,17532,Peshawar,Female
5556666627,William,Hayes,1971-10-30,11787,Karachi,Female
5556666661,John,Warner,2016-11-08,19518,Lahore,Female
5556666664,Ashley,Kelly,1947-07-27,17553,Karachi,Female
5556666665,Linda,Hayes,2002-04-12,10669,Rawalpindi,Male
5556666668,Christopher,Gomez,2016-03-29,15816,Karachi,Male
5556888888,David,Morris,1961-02-10,13855,Karachi,Female
5557777713,William,Bailey,1994-02-03,11515,Karachi,Female
5557777720,Jennifer,Long,2012-10-10,12293,Sialkot,Male
5557777728,Jessica,Cooper,1989-02-10,16548,Lahore,Male
5557777772,Linda,Ramos,2006-05-17,11378,Rawalpindi,Female
5557777775,Christopher,Young,1965-03-23,12050,Lahore,Male
5557777776,James,Diaz,2012-03-27,15999,Karachi,Male
5557777779,Emily,Hawkins,2011-12-25,16828,Karachi,Male
5557999999,Ashley,Edwards,1988-07-28,18175,Rawalpindi,Female
5558333333,Christopher,Cook,1996-12-25,13417,Islamabad,Female
5558888814,Jessica,Perez,1943-06-16,10000,Islamabad,Male
5558888821,Mary,Sanchez,1983-04-19,11818,Islamabad,Male
5558888829,Michael,James,1935-03-27,18137,Peshawar,Male
5558888880,William,Wells,2006-02-23,18134,Peshawar,Male
5558888883,James,Fox,1990-10-31,13045,Rawalpindi,Male
5558888886,Emily,Allen,1978-03-06,17787,Karachi,Female
5558888887,Jennifer,Griffin,1970-04-17,13950,Rawalpindi,Female
5559444444,Emily,Adams,2007-01-13,11344,Karachi,Male
5559999915,Michael,Turner,2008-03-12,10177,Sialkot,Male
5559999922,David,Flores,2005-07-24,17378,Islamabad,Male
5559999930,Maria,Carter,1942-03-21,11579,Islamabad,Male
5559999991,Jessica,Olson,1942-07-03,14615,Lahore,Male
5559999994,Jennifer,Jordan,1966-02-01,12107,Peshawar,Female
5559999997,William,Martin,1976-05-08,19020,Lahore,Male
5559999998,Mary,Russell,1957-09-29,12799,Lahore,Female
1234567891011,John,Smith,2010-04-24,19020,Faislabad,Male
