CNIC,Caller Number,Activate At,CDR Number
76233750837,923734750,2019-12-22,923949789
76233750837,923734750,2019-12-22,923008193
41598376372,923269633,2019-05-17,923477054
41598376372,923269633,2019-05-17,923893246
31454161944,923420908,2019-07-04,923333123
31454161944,923420908,2019-07-04,923941663
59384740669,923228395,2019-09-18,923165771
59384740669,923228395,2019-09-18,923071276
34013232891,923312269,2019-01-13,923187929
34013232891,923312269,2019-01-13,923267515
89131086880,923564493,2019-09-11,923047243
89131086880,923564493,2019-09-11,923825975
75616372421,923498675,2019-11-24,923964387
75616372421,923498675,2019-11-24,923902708
58938913485,923239094,2019-04-17,923194868
58938913485,923239094,2019-04-17,923114298
87636555845,923364619,2019-12-13,923072493
87636555845,923364619,2019-12-13,923939038
99864050522,923829526,2019-08-12,923000153
99864050522,923829526,2019-08-12,923389470
96576057407,923520270,2019-01-25,923958998
96576057407,923520270,2019-01-25,923423738
26163115923,923119896,2019-02-12,923150813
26163115923,923119896,2019-02-12,923992413
46898324468,923569493,2019-04-15,923651837
46898324468,923569493,2019-04-15,923801044
12743646049,923343207,2019-04-14,923508093
12743646049,923343207,2019-04-14,923936109
37199181987,923856779,2019-01-16,923386339
37199181987,923856779,2019-01-16,923981282
63140725362,923270910,2019-09-30,923019608
63140725362,923270910,2019-09-30,923358496
94841559691,923387953,2019-03-03,923076422
94841559691,923387953,2019-03-03,923873316
52139066206,923877127,2019-01-12,923123681
52139066206,923877127,2019-01-12,923383507
18542672071,923352118,2019-01-21,923200587
18542672071,923352118,2019-01-21,923330866
34961826447,923902708,2019-12-01,923616513
34961826447,923902708,2019-12-01,923465059
10167251616,923444490,2019-09-09,923248945
10167251616,923444490,2019-09-09,923544463
39486919814,923370601,2019-10-23,923959364
39486919814,923370601,2019-10-23,923707165
41815147624,923052385,2019-01-23,923846586
41815147624,923052385,2019-01-23,923018089
76594917657,923975767,2019-02-13,923348923
76594917657,923975767,2019-02-13,923642419
88970148568,923835039,2019-12-05,923270183
88970148568,923835039,2019-12-05,923065633
38444202992,923243472,2019-07-20,923917245
38444202992,923243472,2019-07-20,923455314
27077857052,923996670,2019-10-21,923979764
27077857052,923996670,2019-10-21,923926808
21977545487,923554741,2019-02-26,923941021
21977545487,923554741,2019-02-26,923745283
95507824436,923979869,2019-02-22,923906673
95507824436,923979869,2019-02-22,923176547
69023477482,923044659,2019-01-25,923231388
69023477482,923044659,2019-01-25,923612311
64094929025,923296202,2019-02-26,923382218
64094929025,923296202,2019-02-26,923374634
79982290144,923356403,2019-03-21,923254635
79982290144,923356403,2019-03-21,923840745
97751861814,923335573,2019-01-04,923583716
97751861814,923335573,2019-01-04,923442433
34733704408,923367056,2019-01-05,923993265
34733704408,923367056,2019-01-05,923880350
90750879137,923961183,2019-11-09,923955402
90750879137,923961183,2019-11-09,923144469
50464700938,923071276,2019-05-02,923034033
50464700938,923071276,2019-05-02,923688423
68121246858,923450882,2019-05-19,923824026
68121246858,923450882,2019-05-19,923059914
58776056619,923152730,2019-07-04,923750423
58776056619,923152730,2019-07-04,923662169
11705942389,923365551,2019-03-11,923819720
11705942389,923365551,2019-03-11,923546450
43076548266,923875786,2019-11-18,923660413
43076548266,923875786,2019-11-18,923916897
94603929516,923425307,2019-06-15,923873325
94603929516,923425307,2019-06-15,923176626
84399639896,923055700,2019-09-16,923887593
84399639896,923055700,2019-09-16,923949369
37115205342,923322621,2019-07-23,923203913
37115205342,923322621,2019-07-23,923242789
36711191094,923526194,2019-05-09,923364681
36711191094,923526194,2019-05-09,923626932
38587609691,923582832,2019-01-23,923008750
38587609691,923582832,2019-01-23,923845549
46460957084,923577894,2019-05-26,923832088
46460957084,923577894,2019-05-26,923370255
81889569005,923547513,2019-02-09,923962039
81889569005,923547513,2019-02-09,923008859
11007222715,923881625,2019-06-24,923603870
11007222715,923881625,2019-06-24,923226989
65187218565,923464062,2019-12-01,923620381
65187218565,923464062,2019-12-01,923107832
98173706000,923124618,2019-03-19,923194286
98173706000,923124618,2019-03-19,923907042
13205004911,923176222,2019-02-10,923394617
13205004911,923176222,2019-02-10,923113542
42336714629,923478374,2019-05-10,923801003
42336714629,923478374,2019-05-10,923667060
